Incident,Recur,N
1,2,0
6,18,43
0,1,0
0,1,0
0,2,0
0,0,0
0,1,0
0,0,0
0,4,0
0,0,0
0,0,0
2,5,0
0,1,0
7,29,45
4,21,58
1,4,0
0,0,0
0,4,41
0,0,0
0,0,0
1,8,11
1,9,71
0,6,36
0,0,0
2,0,0
0,3,0
4,26,94
1,11,1
0,0,0
0,2,0
0,2,0
0,0,0
0,1,0
0,0,0
0,1,0
4,4,0
0,0,0
1,2,0
0,0,0
1,8,14
0,0,0
3,11,11
4,16,1
0,1,0
0,0,0
0,0,0
0,1,0
1,5,0
0,6,70
0,1,0
2,5,24
2,4,0
0,0,0
0,4,14
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,2,0
0,1,0
0,3,0
1,15,20
0,0,0
0,1,0
1,4,0
1,3,0
0,6,22
0,1,0
1,3,0
0,0,0
0,0,0
1,3,0
0,2,0
4,13,42
1,1,0
0,1,0
1,4,34
4,15,68
0,0,0
1,4,4
1,14,13
0,1,0
4,20,125
2,5,0
1,2,0
0,0,0
0,0,0
1,3,5
0,6,0
4,11,52
1,7,0
0,0,0
0,0,0
4,21,72
0,2,4
3,7,21
0,1,0
2,5,0
1,11,30
0,3,0
1,15,27
0,1,0
1,4,37
0,0,0
0,3,0
5,29,107
0,1,0
4,12,18
0,4,7
1,9,36
0,2,0
0,1,0
0,0,0
0,1,0
1,3,0
0,1,0
0,0,0
0,0,0
1,3,0
1,4,0
0,1,0
0,0,0
1,4,5
0,0,0
0,1,0
3,39,199
2,3,0
0,2,0
2,5,7
0,6,4
1,9,33
0,4,10
0,0,0
0,0,0
1,0,0
0,0,0
0,5,15
1,5,6
0,0,0
0,2,0
0,1,0
0,6,0
4,13,70
0,0,0
0,14,24
0,2,0
0,0,0
1,5,10
0,0,0
3,29,139
0,0,0
0,1,0
2,0,0
2,19,99
1,0,0
1,10,24
0,2,0
0,11,45
2,8,28
1,1,0
1,9,0
5,11,97
1,1,3
0,0,0
1,3,32
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,1,0
0,1,0
0,0,0
1,4,12
0,4,0
0,0,0
1,8,45
0,0,0
0,1,0
0,6,4
1,3,0
0,0,0
0,7,57
2,6,19
0,7,0
3,20,33
0,2,0
3,19,28
0,1,0
0,2,0
2,7,4
0,3,0
1,3,0
0,0,0
3,13,103
0,2,0
0,0,0
0,0,0
0,1,0
0,2,0
0,1,0
0,2,0
0,5,0
0,1,0
0,7,16
0,0,0
0,0,0
0,0,0
0,5,36
0,0,0
0,0,0
0,1,0
1,3,0
0,1,0
0,0,0
4,4,0
3,14,61
0,0,0
0,1,0
0,0,0
1,1,5
0,2,0
2,10,20
0,2,0
0,0,0
0,0,0
0,0,0
0,5,12
2,5,0
5,26,132
3,14,45
0,2,0
0,0,0
0,0,0
0,3,0
0,1,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,2,0
2,5,28
0,7,23
0,4,0
7,10,53
0,0,0
0,0,0
2,2,0
2,11,15
8,21,92
1,0,0
0,1,0
1,5,19
0,2,0
0,4,13
8,9,39
0,12,24
3,17,74
0,2,0
0,5,21
0,0,0
0,0,0
0,0,0
2,4,0
2,2,6
0,0,0
0,3,0
0,5,0
0,1,0
0,2,0
2,6,3
0,5,0
2,8,29
1,13,54
0,0,0
0,0,0
0,0,0
0,3,0
4,12,15
2,17,11
2,2,0
0,0,0
1,9,8
0,0,0
1,0,0
