Time,prey,predator
0.00000000,6.00000000,3.00000000
0.10010010,7.27380244,3.16398440
0.20020020,7.94440744,3.35945215
0.30030030,8.21615834,3.57566825
0.40040040,8.28160932,3.80569334
0.50050050,8.25054834,4.04560055
0.60060060,8.17544256,4.29311348
0.70070070,8.07981628,4.54673257
0.80080080,7.97408964,4.80529528
0.90090090,7.86297951,5.06777713
1.00100100,7.74875051,5.33320915
1.10110110,7.63261138,5.60064883
1.20120120,7.51531197,5.86917470
1.30130130,7.39739710,6.13789107
1.40140140,7.27931418,6.40593639
1.50150150,7.16145715,6.67249230
1.60160160,7.04418478,6.93679196
1.70170170,6.92782618,7.19812697
1.80180180,6.81268256,7.45585287
1.90190190,6.69902751,7.70939149
2.00200200,6.58710643,7.95823314
2.10210210,6.47713618,8.20193706
2.20220220,6.36930502,8.44013113
2.30230230,6.26377368,8.67250717
2.40240240,6.16067623,8.89881884
2.50250250,6.06012170,9.11887769
2.60260260,5.96219522,9.33254862
2.70270270,5.86695964,9.53974544
2.80280280,5.77445787,9.74042479
2.90290290,5.68471491,9.93458282
3.00300300,5.59773966,10.12224968
3.10310310,5.51352642,10.30348510
3.20320320,5.43205620,10.47837412
3.30330330,5.35329965,10.64702325
3.40340340,5.27721899,10.80955644
3.50350350,5.20376770,10.96611231
3.60360360,5.13289286,11.11684085
3.70370370,5.06453651,11.26190099
3.80380380,4.99863646,11.40145801
3.90390390,4.93512747,11.53568162
4.00400400,4.87394184,11.66474427
4.10410410,4.81501026,11.78881965
4.20420420,4.75826259,11.90808138
4.30430430,4.70362816,12.02270190
4.40440440,4.65103634,12.13285159
4.50450450,4.60041701,12.23869810
4.60460460,4.55170077,12.34040599
4.70470470,4.50481944,12.43813537
4.80480480,4.45970619,12.53204237
4.90490490,4.41629556,12.62227873
5.00500501,4.37452372,12.70899144
5.10510511,4.33432853,12.79232265
5.20520521,4.29564972,12.87240942
5.30530531,4.25842893,12.94938416
5.40540541,4.22260965,13.02337431
5.50550551,4.18813724,13.09450244
5.60560561,4.15495897,13.16288622
5.70570571,4.12302403,13.22863871
5.80580581,4.09228346,13.29186844
5.90590591,4.06269015,13.35267945
6.00600601,4.03419879,13.41117140
6.10610611,4.00676585,13.46743986
6.20620621,3.98034947,13.52157627
6.30630631,3.95490944,13.57366810
6.40640641,3.93040739,13.62379854
6.50650651,3.90680627,13.67204812
6.60660661,3.88407070,13.71849336
6.70670671,3.86216669,13.76320766
6.80680681,3.84106174,13.80626100
6.90690691,3.82072443,13.84772055
7.00700701,3.80112476,13.88765028
7.10710711,3.78223399,13.92611162
7.20720721,3.76402462,13.96316316
7.30730731,3.74647033,13.99886104
7.40740741,3.72954590,14.03325887
7.50750751,3.71322701,14.06640801
7.60760761,3.69749041,14.09835757
7.70770771,3.68231357,14.12915505
7.80780781,3.66767589,14.15884389
7.90790791,3.65355625,14.18746861
8.00800801,3.63993527,14.21506992
8.10810811,3.62679410,14.24168731
8.20820821,3.61411466,14.26735856
8.30830831,3.60187972,14.29211977
8.40840841,3.59007265,14.31600561
8.50850851,3.57867751,14.33904935
8.60860861,3.56767895,14.36128295
8.70870871,3.55706248,14.38273651
8.80880881,3.54681366,14.40344005
8.90890891,3.53691924,14.42342104
9.00900901,3.52736612,14.44270665
9.10910911,3.51814192,14.46132252
9.20920921,3.50923467,14.47929334
9.30930931,3.50063281,14.49664303
9.40940941,3.49232543,14.51339400
9.50950951,3.48430184,14.52956835
9.60960961,3.47655184,14.54518711
9.70970971,3.46906566,14.56027045
9.80980981,3.46183384,14.57483780
9.90990991,3.45484738,14.58890769
10.01001001,3.44809749,14.60249810
10.11011011,3.44157578,14.61562618
10.21021021,3.43527419,14.62830843
10.31031031,3.42918493,14.64056079
10.41041041,3.42330054,14.65239850
10.51051051,3.41761384,14.66383625
10.61061061,3.41211796,14.67488813
10.71071071,3.40680626,14.68556776
10.81081081,3.40167233,14.69588832
10.91091091,3.39671001,14.70586240
11.01101101,3.39191332,14.71550205
11.11111111,3.38727648,14.72481894
11.21121121,3.38279392,14.73382431
11.31131131,3.37846041,14.74252896
11.41141141,3.37427088,14.75094331
11.51151151,3.37022047,14.75907739
11.61161161,3.36630437,14.76694087
11.71171171,3.36251787,14.77454305
11.81181181,3.35885640,14.78189290
11.91191191,3.35531576,14.78899908
12.01201201,3.35189215,14.79586992
12.11211211,3.34858143,14.80251344
12.21221221,3.34537979,14.80893738
12.31231231,3.34228353,14.81514922
12.41241241,3.33928912,14.82115616
12.51251251,3.33639310,14.82696513
12.61261261,3.33359218,14.83258283
12.71271271,3.33088316,14.83801570
12.81281281,3.32826296,14.84327000
12.91291291,3.32572859,14.84835172
13.01301301,3.32327720,14.85326668
13.11311311,3.32090600,14.85802048
13.21321321,3.31861231,14.86261851
13.31331331,3.31639355,14.86706600
13.41341341,3.31424723,14.87136799
13.51351351,3.31217093,14.87552935
13.61361361,3.31016234,14.87955472
13.71371371,3.30821918,14.88344871
13.81381381,3.30633929,14.88721566
13.91391391,3.30452063,14.89085971
14.01401401,3.30276117,14.89438489
14.11411411,3.30105892,14.89779526
14.21421421,3.29941200,14.90109460
14.31431431,3.29781860,14.90428655
14.41441441,3.29627694,14.90737469
14.51451451,3.29478531,14.91036245
14.61461461,3.29334209,14.91325313
14.71471471,3.29194569,14.91604992
14.81481481,3.29059456,14.91875592
14.91491491,3.28928721,14.92137413
15.01501502,3.28802221,14.92390741
15.11511512,3.28679818,14.92635856
15.21521522,3.28561374,14.92873030
15.31531532,3.28446762,14.93102523
15.41541542,3.28335856,14.93324584
15.51551552,3.28228538,14.93539451
15.61561562,3.28124687,14.93747367
15.71571572,3.28024190,14.93948559
15.81581582,3.27926939,14.94143245
15.91591592,3.27832829,14.94331637
16.01601602,3.27741760,14.94513937
16.11611612,3.27653629,14.94690350
16.21621622,3.27568344,14.94861067
16.31631632,3.27485812,14.95026271
16.41641642,3.27405946,14.95186140
16.51651652,3.27328658,14.95340850
16.61661662,3.27253863,14.95490570
16.71671672,3.27181480,14.95635462
16.81681682,3.27111431,14.95775681
16.91691692,3.27043616,14.95911429
17.01701702,3.26978023,14.96042716
17.11711712,3.26914530,14.96169796
17.21721722,3.26853072,14.96292791
17.31731732,3.26793587,14.96411826
17.41741742,3.26736013,14.96527023
17.51751752,3.26680290,14.96638509
17.61761762,3.26626359,14.96746408
17.71771772,3.26574163,14.96850834
17.81781782,3.26523651,14.96951896
17.91791792,3.26474768,14.97049707
18.01801802,3.26427460,14.97144376
18.11811812,3.26381677,14.97235996
18.21821822,3.26337368,14.97324669
18.31831832,3.26294340,14.97410769
18.41841842,3.26252940,14.97493623
18.51851852,3.26212794,14.97573954
18.61861862,3.26173902,14.97651766
18.71871872,3.26136252,14.97727087
18.81881882,3.26099817,14.97799979
18.91891892,3.26064544,14.97870545
19.01901902,3.26030420,14.97938815
19.11911912,3.25997397,14.98004880
19.21921922,3.25965435,14.98068824
19.31931932,3.25934490,14.98130732
19.41941942,3.25904537,14.98190656
19.51951952,3.25875546,14.98248653
19.61961962,3.25847486,14.98304788
19.71971972,3.25820323,14.98359126
19.81981982,3.25794032,14.98411719
19.91991992,3.25768587,14.98462621
20.02002002,3.25743959,14.98511889
20.12012012,3.25720123,14.98559572
20.22022022,3.25697046,14.98605738
20.32032032,3.25674713,14.98650416
20.42042042,3.25653096,14.98693660
20.52052052,3.25632172,14.98735521
20.62062062,3.25611918,14.98776040
20.72072072,3.25592312,14.98815263
20.82082082,3.25573335,14.98853228
20.92092092,3.25554967,14.98889975
21.02102102,3.25537188,14.98925541
21.12112112,3.25519979,14.98959966
21.22122122,3.25503321,14.98993290
21.32132132,3.25487195,14.99025545
21.42142142,3.25471585,14.99056766
21.52152152,3.25456476,14.99086982
21.62162162,3.25441850,14.99116229
21.72172172,3.25427692,14.99144539
