Prey,Predator,N
3.390000000000000124e+00,9.880000000000000782e+00,1.326999999999999957e+01
2.600000000000000089e+00,9.300000000000000711e+00,1.190000000000000036e+01
1.790000000000000036e+00,1.066999999999999993e+01,1.246000000000000085e+01
3.549999999999999822e+00,1.126999999999999957e+01,1.482000000000000028e+01
1.070000000000000062e+00,1.056000000000000050e+01,1.163000000000000078e+01
4.089999999999999858e+00,1.083000000000000007e+01,1.491999999999999993e+01
2.600000000000000089e+00,8.960000000000000853e+00,1.156000000000000050e+01
2.660000000000000142e+00,7.969999999999999751e+00,1.063000000000000078e+01
3.709999999999999964e+00,9.000000000000000000e+00,1.271000000000000085e+01
4.360000000000000320e+00,9.890000000000000568e+00,1.425000000000000000e+01
2.990000000000000213e+00,1.113000000000000078e+01,1.411999999999999922e+01
2.490000000000000213e+00,1.072000000000000064e+01,1.321000000000000085e+01
3.100000000000000089e+00,9.990000000000000213e+00,1.308999999999999986e+01
5.169999999999999929e+00,9.619999999999999218e+00,1.478999999999999915e+01
2.299999999999999822e+00,1.214000000000000057e+01,1.443999999999999950e+01
4.299999999999999822e+00,8.830000000000000071e+00,1.313000000000000078e+01
2.470000000000000195e+00,9.970000000000000639e+00,1.243999999999999950e+01
2.250000000000000000e+00,7.129999999999999893e+00,9.380000000000000782e+00
1.550000000000000044e+00,9.939999999999999503e+00,1.149000000000000021e+01
1.600000000000000089e+00,1.264000000000000057e+01,1.424000000000000021e+01
1.919999999999999929e+00,9.019999999999999574e+00,1.093999999999999950e+01
2.149999999999999911e+00,1.075999999999999979e+01,1.291000000000000014e+01
4.700000000000000178e+00,9.400000000000000355e+00,1.409999999999999964e+01
4.080000000000000071e+00,9.509999999999999787e+00,1.358999999999999986e+01
3.459999999999999964e+00,1.034999999999999964e+01,1.381000000000000050e+01
3.729999999999999982e+00,9.849999999999999645e+00,1.358000000000000007e+01
2.879999999999999893e+00,9.490000000000000213e+00,1.236999999999999922e+01
3.600000000000000089e+00,1.131000000000000050e+01,1.491000000000000014e+01
4.400000000000000355e+00,8.560000000000000497e+00,1.296000000000000085e+01
2.189999999999999947e+00,7.969999999999999751e+00,1.016000000000000014e+01
2.430000000000000160e+00,9.810000000000000497e+00,1.224000000000000021e+01
3.549999999999999822e+00,9.869999999999999218e+00,1.341999999999999993e+01
3.740000000000000213e+00,1.032000000000000028e+01,1.406000000000000050e+01
5.259999999999999787e+00,8.570000000000000284e+00,1.383000000000000007e+01
2.040000000000000036e+00,1.090000000000000036e+01,1.293999999999999950e+01
3.959999999999999964e+00,9.480000000000000426e+00,1.343999999999999950e+01
1.989999999999999991e+00,1.051999999999999957e+01,1.250999999999999979e+01
3.229999999999999982e+00,1.110999999999999943e+01,1.433999999999999986e+01
3.770000000000000018e+00,9.779999999999999361e+00,1.355000000000000071e+01
1.739999999999999991e+00,1.197000000000000064e+01,1.371000000000000085e+01
5.089999999999999858e+00,1.007000000000000028e+01,1.516000000000000014e+01
1.820000000000000062e+00,9.859999999999999432e+00,1.167999999999999972e+01
1.379999999999999893e+00,8.500000000000000000e+00,9.880000000000000782e+00
2.049999999999999822e+00,1.134999999999999964e+01,1.340000000000000036e+01
1.659999999999999920e+00,8.269999999999999574e+00,9.929999999999999716e+00
2.270000000000000018e+00,9.759999999999999787e+00,1.202999999999999936e+01
2.299999999999999822e+00,1.155000000000000071e+01,1.384999999999999964e+01
2.649999999999999911e+00,9.339999999999999858e+00,1.199000000000000021e+01
4.389999999999999680e+00,9.919999999999999929e+00,1.431000000000000050e+01
4.280000000000000249e+00,1.033999999999999986e+01,1.461999999999999922e+01
