Time,Model,Method
1.264358044,CDI,Pool
1.959203005,CDI,Pool
3.919034958,CDI,Pool
2.950383902,CDI,Pool
0.947934866,CDI,Pool
2.44393301,CDI,Pool
6.738626957,CDI,Pool
6.732612133,CDI,Pool
6.589779139,CDI,Pool
5.861073017,CDI,Pool
6.394599915,CDI,Pool
0.497742891,CDI,Pool
1.202532053,CDI,Pool
1.074556828,CDI,Pool
3.587749004,CDI,Pool
2.551338196,CDI,Pool
5.999449968,CDI,Pool
4.774574995,CDI,Pool
4.047205925,CDI,Pool
0.202300072,CDI,Pool
3.892448902,CDI,Pool
4.106884003,CDI,Pool
5.25130105,CDI,Pool
1.110290051,CDI,Pool
0.892807007,CDI,Pool
7.605742931,CDI,Pool
7.295257092,CDI,Pool
7.679875851,CDI,Pool
2.745677948,CDI,Pool
4.465240002,CDI,Pool
4.412759066,CDI,Pool
1.203763008,CDI,Pool
3.329481125,CDI,Pool
7.206691027,CDI,Pool
1.404931068,CDI,Pool
7.342833042,CDI,Pool
6.543700933,CDI,Pool
1.6689291,CDI,Pool
7.3545959,CDI,Pool
4.349786043,CDI,Pool
3.995762825,CDI,Pool
3.617352962,CDI,Pool
4.785286903,CDI,Pool
3.514159918,CDI,Pool
2.821681023,CDI,Pool
3.115267992,CDI,Pool
1.129070044,CDI,Pool
7.169872046,CDI,Pool
6.974047899,CDI,Pool
0.935998604,CDI,Pool
7.076370955,CDI,Pool
1.876200914,CDI,Pool
1.27604413,CDI,Pool
1.828457117,CDI,Pool
6.46328783,CDI,Pool
6.748655081,CDI,Pool
1.117491007,CDI,Pool
3.373164892,CDI,Pool
6.721485138,CDI,Pool
2.385680914,CDI,Pool
4.044919014,CDI,Pool
6.658646822,CDI,Pool
1.039283037,CDI,Pool
0.74783206,CDI,Pool
0.583856106,CDI,Pool
5.593148947,CDI,Pool
1.072668076,CDI,Pool
1.386431098,CDI,Pool
6.843451977,CDI,Pool
0.618329048,CDI,Pool
7.11540699,CDI,Pool
1.128042936,CDI,Pool
0.758671045,CDI,Pool
2.280764103,CDI,Pool
4.160551786,CDI,Pool
7.198071957,CDI,Pool
1.14708209,CDI,Pool
1.54272604,CDI,Pool
6.068351984,CDI,Pool
7.081565857,CDI,Pool
7.027902126,CDI,Pool
2.051851988,CDI,Pool
1.583925009,CDI,Pool
1.654901028,CDI,Pool
7.068913937,CDI,Pool
3.367765903,CDI,Pool
2.797297955,CDI,Pool
6.700856209,CDI,Pool
0.915152788,CDI,Pool
6.902606964,CDI,Pool
6.671145201,CDI,Pool
1.224619865,CDI,Pool
5.38695693,CDI,Pool
0.595367908,CDI,Pool
2.349740028,CDI,Pool
1.16741395,CDI,Pool
6.316317081,CDI,Pool
7.227111101,CDI,Pool
0.860225916,CDI,Pool
0.559360981,CDI,Pool
7.278654099,CDI,Queue
7.55953908,CDI,Queue
7.661418915,CDI,Queue
7.309756041,CDI,Queue
7.360970974,CDI,Queue
7.29162693,CDI,Queue
7.464927912,CDI,Queue
7.304921865,CDI,Queue
7.198250055,CDI,Queue
7.11507988,CDI,Queue
7.282775879,CDI,Queue
7.273350954,CDI,Queue
7.371924162,CDI,Queue
7.42497611,CDI,Queue
7.374977112,CDI,Queue
7.363075018,CDI,Queue
7.38591218,CDI,Queue
7.437780142,CDI,Queue
7.539279938,CDI,Queue
7.583902121,CDI,Queue
7.559789896,CDI,Queue
7.55337882,CDI,Queue
7.392768145,CDI,Queue
7.604862928,CDI,Queue
7.638785124,CDI,Queue
7.432290077,CDI,Queue
7.188060045,CDI,Queue
7.497309923,CDI,Queue
7.589846134,CDI,Queue
7.482177019,CDI,Queue
7.439393044,CDI,Queue
7.303780079,CDI,Queue
7.371880054,CDI,Queue
7.617050886,CDI,Queue
7.363986015,CDI,Queue
7.472670078,CDI,Queue
7.333893061,CDI,Queue
7.493050814,CDI,Queue
